Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание;
"Kultlab Q10 100% 100mg Softgels, 30 капс";Антиоксиданты;Активное долголетие;"Прием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет.";;;https://kultlab.ru/catalog/antioksidanty/kultlab-q10-100-100-mg-softgels-30-kaps/;;"Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.

Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).";"Размер одной порции                                        : 1 капсулаПродукт Коэнзим -Q10 выпущен на рынок добавок для спорта компанией Культлаб. Это мощное антиоксидантное вещество, которое обладает рядом положительных свойств. Добавка Коэнзим -Q10 налаживает работу сердечной мышцы, укрепляет все сосуды, поддерживает когнитивную функцию и нервную систему.Кроме этого он берет участие в процессе переработки пищи в энергетические запасы. Также Коэнзим Q-10 способствует процессу циркуляции витамина Е. Очень хорошо поглощают Коэнзим Q-10 верхние слои кожи, насыщаясь  при этом полезными элементами.Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).iПрием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. 


Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет.";
"Kultlab Alpha-Lipoic Acid 300 мг, 60 капс";Антиоксиданты;Активное долголетие;Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/antioksidanty/kultlab-alpha-lipoic-acid-300-mg-60-kaps/;;принимать по 1 капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаАльфа-липоевая кислота от Kultlab - это митохондриальное соединение, которое участвует в энергетическом обмене и поддерживает антиоксидантную систему организма, помогая устранять повреждения тканей, вызванных окислением.Исследования альфа-липоевой кислоты демонстрируют ее способность устранить симптомы при некоторых формах нейропатии, а также улучшать метаболизм сахара в крови.Рекомендации по применению:принимать по 1 капсуле в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.";
"Kultlab Омега 3, 120 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-120-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : Принимать по 1 капсуле 3 раза в день, во время еды, обильно запивая водойKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость.";
"Kultlab Omega 3, 60капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость.";
"Kultlab Omega 3, 90капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-90-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга.ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы.Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость.";
"Kultlab Ultra Omega-3 65%, 90 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-65-60-kaps/;;по 1 капсуле 1-2 раза в день во время еды.;"Размер одной порции                                        : по 1 капсуле 1-2 раза в день во время еды.Омега-3 способствует укреплению здоровья сердца, снижает уровень триглицеридов и риск сердечно-сосудистых заболеваний, усиливает работу мозга. Кроме того, Омега-3 обладает противоспалительными свойствами, что полезно при хронических заболеваниях и для здоровья кожи.";
"Kultlab Omega 3-6-9, 60 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-6-9-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultlab Omega 3-6-9 - сбалансированный комплекс поможет восполнить дефицит жирных кислот в организме человека.Улучшает обмен веществ, что способствует снижению веса,Стабилизирует уровень сахара в крови,Помогает выработке сератонина - гормана счастья, поэтому является отличным средством в борьбе со стрессом и даже депрессией,Укрепляет иммунитет, сердечно - сосудистую систему,Улучшает состояние кожи, ногтей и волос, помогает им восстановиться после зимы,Поддерживает здоровье глаз,Является профилактическим средством различных заболеваний глаз, сердца, кожи, сахарного диабета, болезни Альцгеймера, остеопороза и других,Придает сил и увеличивает запас энергии,Уменьшает различные воспаления в организме и прочее.iПродукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.";
"Kultlab Omega 3 Norwegian, 250 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/14880387/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-250-kapsuly/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian  - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды. Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта.";
"Kultlab Омега 3 Норвегия, 500 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/13935737/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-500-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды.Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта.";
"Kultlab Citrulline Malate, 200 гр
";"Цитрулин
";Аминокислоты;Перед употреблением проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/tsitrulin/kultlab-citrulline-malate-200-gr/;;"Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой";"Размер одной порции                                        : по 1.85 гр порошка (0.5 мерной ложки) 1 раз в день, запивая водой или сокомCITRULLINE MALATE / ЦИТРУЛЛИН - аминокислота, которая не входит в состав строительных белков, однако имеет большое число физиологических эффектов:• Цитруллин укрепляет имунную функцию и увеличивает энергетический потенциал организма.• Цитруллин встречается в специализированных энзимах, входит в состав кожи, волос и оболочки нервов.• Цитруллин необходим для поддержания азотистого баланса в организме.• Из цитруллина может образовываться аргинин - основной донатор азота, который улучшает кровоток в мышцах.• Повышает выносливость и улучшает питание мышц.Рекомендации по применению:Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой. Перед употреблением проконсультироваться со специалистом.";
