Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab L-Carnitine, 100гр Фруктовый пунш";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Натуральный";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Чёрная смородина";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Апельсин";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Яблоко";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine, 100гр Бабл - гам
";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-100-gr/;;"Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.";"Размер одной порции                                        : 5 гр = 1,5 мерные ложкиКак известно, Л-карнитин является базовой аминокислотой в препаратах для сжигания жира. Именно с нее начинается подавляющее большинство составов жиросжигателей. Оно и понятно – будучи натуральным и безвредным л-карнитин выполняет сразу две функции – сжигает подкожный жир и вызывает прилив энергии. Что делает тренировки значительно более эффективными и продолжительными. Л-карнитин снижает утомляемость, увеличивает выносливость.Kultlab L-Carnitine – это л-карнитин в удобной для применения порошковой форме. В отличии от капсульных фасовок порошковая формула позволяет включать л-карнитин в состав различного рода напитков. К примеру – добавлять его в жидкость, принимаемую на тренировке. К тому же порошковую фракцию удобнее дозировать согласно личных потребностей. Ну и последний аргумент за Kultlab L-Carnitine – это экономичность упаковки! Порошковые фасовки ощутимо дешевле капсульных форм.Помимо жиросжигающей функции у л-карнитина есть немало и иных полезных свойств. Он укрепляет сердечную мышцу, улучшает работу всей сердечнососудистой системы. Он улучшает проницаемость клеточной мембраны, благодаря чему многие полезные вещества (аминокислоты, витамины, минералы) легче попадают в мышечные клетки. Именно поэтому Kultlab L-Carnitine нельзя считать препаратом только для похудания. Это комплексный продукт, направленный на оптимизацию обмена веществ. Но ценят его, безусловно, прежде всего, за способность усиливать липолиз жиров. Тем самым ускоряя расщепление подкожного жира.Рекомендации по применению L-Carnitine:Каждая порция содержит 4800 мг л-карнитина. Смешайте 1,5 мерные ложки препарата с 300-400 мл воды. Начинайте принимать напиток за 25 минут до тренировки и далее в течение ее.iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine 750 мг, 90 капс";Карнитин;снижение веса;"индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-750-mg-90-kaps/;;"принимайте по 2 капсулы 3 раза в день (утром 2 капс за 20 минут до еды, 2 капсулы за 20 минут перед тренировкой и 1-2 на голодный желудок перед сном)";"Размер одной порции                                        : 1 капсЛ-Карнитин осуществляет транспортировку жирных кислот в митохондрии, где они разрушаются и превращаются в энергию. Дополнительный прием добавок с Л-карнитином способствует ускорению жиросжигания, ускоряет анаболические процессы и положительно влияет на сердечно-сосудистую систему, что так же немаловажно при интенсивных нагрузках.Рекомендации по применению:принимайте по 2 капсулы 3 раза в день (утром 2 капс за 20 минут до еды, 2 капсулы за 20 минут перед тренировкой и 1-2 на голодный желудок перед сном)iиндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab L-Carnitine + Cr + Yohimbe 8%, 90 капс";Карнитин;снижение веса;"Индивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";;;https://kultlab.ru/catalog/karnitin-l-karnitin/kultlab-l-carnitine-cr-yohimbe-8-90-kaps/;;Принимать по 2 капсулы 2 раза в день;"Размер одной порции                                        : 1 капсKultlab L-Carnitine + Cr + Yohimbe 8% - натуральная добавка, способствующая похудению и укреплению мышечной массы. Средство нормализует аппетит, снижает зависимость от сладкого, помогает сбросить лишние килограммы, сохранив при этом мышечный объем. Kultlab L-Carnitine + Cr + Yohimbe 8% увеличивает выносливость при интенсивных нагрузках и способствует оздоровлению организма.Принимать по 2 капсулы 2 раза в день.iИндивидуальная непереносимость компонентов продукта, беременность и кормление грудью, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Q10 100% 100mg Softgels, 30 капс";Антиоксиданты;Активное долголетие;"Прием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет.";;;https://kultlab.ru/catalog/antioksidanty/kultlab-q10-100-100-mg-softgels-30-kaps/;;"Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.

Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).";"Размер одной порции                                        : 1 капсулаПродукт Коэнзим -Q10 выпущен на рынок добавок для спорта компанией Культлаб. Это мощное антиоксидантное вещество, которое обладает рядом положительных свойств. Добавка Коэнзим -Q10 налаживает работу сердечной мышцы, укрепляет все сосуды, поддерживает когнитивную функцию и нервную систему.Кроме этого он берет участие в процессе переработки пищи в энергетические запасы. Также Коэнзим Q-10 способствует процессу циркуляции витамина Е. Очень хорошо поглощают Коэнзим Q-10 верхние слои кожи, насыщаясь  при этом полезными элементами.Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).iПрием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. 


Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет."
"Kultlab Alpha-Lipoic Acid 300 мг, 60 капс";Антиоксиданты;Активное долголетие;Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/antioksidanty/kultlab-alpha-lipoic-acid-300-mg-60-kaps/;;принимать по 1 капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаАльфа-липоевая кислота от Kultlab - это митохондриальное соединение, которое участвует в энергетическом обмене и поддерживает антиоксидантную систему организма, помогая устранять повреждения тканей, вызванных окислением.Исследования альфа-липоевой кислоты демонстрируют ее способность устранить симптомы при некоторых формах нейропатии, а также улучшать метаболизм сахара в крови.Рекомендации по применению:принимать по 1 капсуле в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
